fragment_id,area_ha,distance_nearest_fragment_m,n_marked_flowers,n_plants_fruited,fruit_set_mean,fruit_set_sd,follicles_per_flower_mean,follicles_per_flower_sd,seed_set_per_flower_mean,seed_set_per_flower_sd,pollinator_abundance_per_flower_mean,pollinator_abundance_per_flower_sd,plant_density_mean,plant_density_sd,source_location
F1,2.16,210,524,2,0.01,0.03,0.02,0.07,0.06,0.14,0.55,0.37,30.4,15.9,Table 1
F2,5.67,108,487,5,0.03,0.05,0.37,1.17,0.13,0.29,0.47,0.16,16.4,7.70,Table 1
F3,7.74,108,326,7,0.12,0.12,2.22,3.14,0.69,0.01,1.60,0.80,112,32.0,Table 1
F4,11.6,162,446,7,0.11,0.11,1.95,2.43,0.59,0.62,0.81,0.23,10.0,4.27,Table 1
F5,19.1,150,398,6,0.06,0.08,0.89,1.81,0.34,0.61,0.89,0.27,19.9,14.9,Table 1
F6,25.8,108,525,8,0.19,0.12,4.48,3.19,1.12,0.78,0.52,0.29,12.2,2.40,Table 1
F7,33.8,30,531,9,0.17,0.11,3.01,3.02,0.90,0.74,0.85,0.42,2.00,2.36,Table 1
F8,455,30,528,7,0.26,0.21,8.61,8.77,2.16,2.03,1.70,1.36,26.3,2.42,Table 1
F9,733,30,511,7,0.30,0.20,7.79,6.27,2.05,1.54,0.66,0.16,31.0,12.2,Table 1
F10,929,30,619,10,0.26,0.20,2.11,2.07,,,0.82,0.45,40.2,12.8,Table 1
