programme_id,species,site,crop,transect,bee_source_site_label,I_all_bees,F_mean_total_seeds_OP,n_OP_planned,n_OP_nonmissing,primary_or_sensitivity
P2_CF01_SEVENELLO_2026,GORO,Maya,Canola,Core,Maya,51.0,69.7,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,Maya,Canola,Edge,Maya,37.0,103.9,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,Maya Private,Canola,Core,MayaPrivate,22.0,47.6,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,Maya Private,Canola,Edge,MayaPrivate,14.0,69.3,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,Milton,Wheat,Core,Milton,13.0,87.4,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,Milton,Wheat,Edge,Milton,16.0,70.5,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,WA12427,Canola,Core,WA12427,24.0,86.2,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,WA12427,Canola,Edge,WA12428,40.0,98.8,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,WA12427,Wheat,Core,WA12429,8.0,123.2,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,WA12427,Wheat,Edge,WA12430,12.0,72.1,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,Xantippe East,Wheat,Core,XantippeEast,4.0,93.2,10,10,primary
P2_CF01_SEVENELLO_2026,GORO,Xantippe East,Wheat,Edge,XantippeEast,6.0,94.0,10,9,primary
P2_CF01_SEVENELLO_2026,LARO,Buntine,Canola,Core,Buntine,41.0,19.555555555555557,10,9,primary
P2_CF01_SEVENELLO_2026,LARO,Buntine,Canola,Edge,Buntine,6.0,11.11111111111111,10,9,primary
P2_CF01_SEVENELLO_2026,LARO,Buntine,Wheat,Core,Buntine,11.0,11.7,10,10,primary
P2_CF01_SEVENELLO_2026,LARO,Buntine,Wheat,Edge,Buntine,1.0,13.5,10,10,primary
P2_CF01_SEVENELLO_2026,LARO,Maya Private,Canola,Core,MayaPrivate,22.0,36.3,10,10,primary
P2_CF01_SEVENELLO_2026,LARO,Maya Private,Canola,Edge,MayaPrivate,14.0,14.5,10,10,primary
P2_CF01_SEVENELLO_2026,LARO,Milton,Wheat,Core,Milton,13.0,21.9,10,10,primary
P2_CF01_SEVENELLO_2026,LARO,Milton,Wheat,Edge,Milton,16.0,51.1,10,10,primary
P2_CF01_SEVENELLO_2026,LARO,WA12427,Canola,Core,WA12427,24.0,26.8,10,10,primary
